,file_name,Model,Dataclass,Results Testset.accuracy_train,Results Testset.accuracy_test,Results Testset.accuracy_eval,Results Testset.F1_test,Results Testset.MCC_test,Config.LEARNING_RATE
24,0000.json,BILSTM_4_FC_3,TwitterSentimentVolumePriceXPriceY,0.5257310236856725,0.536537836960052,0.5284313725490196,0.33781902552204174,0.050742145945918436,0.0018191826338851923
7,0003.json,LSTM_4_FC_3,TwitterSentimentVolumePriceXPriceY,0.5079036412302409,0.5280935368626177,0.5495098039215687,0.0,0.0,0.003825141522708819
13,0013.json,LSTM_4_FC_3,TwitterSentimentVolumePriceXPriceY,0.5082066562294834,0.5280935368626177,0.5495098039215687,0.0,0.0,0.0014760785174663736
50,0005.json,GRU_4_FC_3,TwitterSentimentVolumePriceXPriceY,0.5066410787333973,0.5280935368626177,0.5495098039215687,0.0,0.0,0.0024787557994288265
65,0001.json,BILSTM_4_FC_3,NormSentimentNormPriceXPriceY,0.5194687137013282,0.5267944137707048,0.4970588235294118,0.4896672504378284,0.04884254687070498,0.0017345652159860732
23,0003.json,BILSTM_4_FC_3,TwitterSentimentVolumePriceXPriceY,0.5885056310287359,0.5115297174407275,0.47941176470588237,0.5148387096774194,0.027091681021825267,0.001019895139444844
61,0001.json,LSTM_v1,TweetXPriceY,0.49110496145483296,0.5088218554354013,0.5555555555555556,0.0,0.0,0.013038626251647135
16,0003.json,RNN_1_FC_2,TwitterSentimentVolumePriceXPriceY,0.602292813494268,0.5066580058460539,0.5558823529411765,0.4789022298456261,0.010517426028474445,0.0008652158608970013
40,0000.json,BILSTM_1_FC_2,TwitterSentimentVolumePriceXPriceY,0.6779960608050098,0.5008119519324457,0.5127450980392156,0.5168186104998428,0.008581607217302696,0.0015
22,0004.json,BILSTM_4_FC_3,TwitterSentimentVolumePriceXPriceY,0.5321953436695116,0.49561545956479375,0.5338235294117647,0.40566398775354,-0.023376863850381444,0.001300941420573818
35,0005.json,GRU_4_FC_3,NormSentimentNormPriceXPriceY,0.5142164537144589,0.49399155569990255,0.49019607843137253,0.5889182058047493,0.020010724157388672,0.0013203460933203528
71,0001.json,LSTM_1_FC_2,TwitterSentimentVolumePriceXPriceY,0.6414827533962931,0.49399155569990255,0.5196078431372549,0.49382716049382713,-0.008924248227411126,0.0015
47,0004.json,GRU_4_FC_3,TwitterSentimentVolumePriceXPriceY,0.5259835361850411,0.4933419941539461,0.5009803921568627,0.506953223767383,-0.007112216939866568,0.002079187690032138
