,file_name,Model,Dataclass,Results Testset.accuracy_test,Results Testset.accuracy_train,Results Testset.accuracy_eval,Results Testset.F1_test,Results Testset.MCC_test,Results Testset.precision_test,Results Testset.recall_test,Config.LEARNING_RATE
118,0002.json,GRU_Shallow_1fc,TwitterSentimentVolumePriceXPriceY,0.49983760961351087,0.8707641028230897,0.5504901960784314,0.48148148148148145,-0.0011478982205937317,0.4713249835201055,0.49208534067446663,0.0019470067462017578
127,0005.json,GRU_shallow,TwitterSentimentVolumePriceXPriceY,0.509581032802858,0.8281904954295237,0.5705882352941176,0.513217279174726,0.02325402149312777,0.48271679805942996,0.5478320715760495,0.001481727256001339
125,0003.json,GRU_shallow,TwitterSentimentVolumePriceXPriceY,0.4900941864241637,0.8271299429321751,0.5308823529411765,0.49059052563270605,-0.016599402215314463,0.46408839779005523,0.5203028217481074,0.0033199107688947423
77,0000.json,Shallow_First_GRU,TwitterSentimentVolumePriceXPriceY,0.513478402078597,0.8014746729963134,0.5181372549019608,0.49460188933873145,0.025962096249655238,0.48510919920582396,0.5044735030970406,0.002445018034114338
124,0004.json,GRU_shallow,TwitterSentimentVolumePriceXPriceY,0.48164988632672945,0.789707590525731,0.5284313725490196,0.5083179297597042,-0.027872138955713773,0.4601226993865031,0.5677907777013076,0.0032671516715473605
122,0001.json,GRU_shallow,TwitterSentimentVolumePriceXPriceY,0.49723936342968494,0.7853138730367153,0.5284313725490196,0.4773801485482782,-0.006646232216608509,0.4685222001325381,0.4865794907088782,0.004685856915886866
76,0002.json,Shallow_First_GRU,TwitterSentimentVolumePriceXPriceY,0.5310165638194219,0.7817281955456795,0.5401960784313725,0.16435185185185186,0.027889183408391183,0.5163636363636364,0.09772883688919477,0.0030326600078203615
123,0002.json,GRU_shallow,TwitterSentimentVolumePriceXPriceY,0.5024358557973368,0.7653148830867128,0.5259803921568628,0.5013020833333334,0.0077959208655857815,0.47560222359481164,0.5299380591878872,0.000983218356452032
126,0000.json,GRU_shallow,TwitterSentimentVolumePriceXPriceY,0.48132510555375124,0.7561739306095652,0.509313725490196,0.4751889582648702,-0.03558202119936199,0.4547169811320755,0.4975911906400551,0.004605841735092865
120,0003.json,GRU_Shallow_1fc,TwitterSentimentVolumePriceXPriceY,0.48587203637544657,0.7508711681228221,0.5299019607843137,0.5106646058732612,-0.019681825633916322,0.46352413019079686,0.5684790089470062,0.004827284754598297
60,0006.json,GRU_Shallow_2fc,TwitterSentimentVolumePriceXPriceY,0.49691458265670674,0.7496591081258522,0.5147058823529411,0.4532297917402047,-0.012076061739175657,0.4652173913043478,0.44184445973847214,0.003338739870033559
4,0003.json,GRU_Deep,TwitterSentimentVolumePriceXPriceY,0.4686586554075999,0.7269329831826675,0.5338235294117647,0.45683930942895085,-0.062074031214233084,0.4413085311096857,0.47350309704060567,0.001647031657352745
117,0001.json,GRU_Shallow_1fc,TwitterSentimentVolumePriceXPriceY,0.49723936342968494,0.7245593656886016,0.5279411764705882,0.48296593186372744,-0.005475179659810756,0.4691758598312784,0.4975911906400551,0.005667815215679105
79,0002.json,Shallow_First_GRU,NormSentimentNormPriceXPriceY,0.5173757713543359,0.7210746931973133,0.5441176470588235,0.2441505595116989,-0.003645552352844677,0.4678362573099415,0.16517549896765313,0.0023135401128444133
66,0005.json,GRU_Shallow_2fc,TwitterSentimentVolumePriceXPriceY,0.5196492367651835,0.7080955507297612,0.5235294117647059,0.5025227043390514,0.03865093703241027,0.49144736842105263,0.5141087405368203,0.000800779748382087
121,0000.json,GRU_Shallow_1fc,TwitterSentimentVolumePriceXPriceY,0.4943163364728808,0.703802838240493,0.525,0.5052430886558628,-0.005766723791498028,0.4693034238488784,0.547143840330351,0.005575262013924307
1,0001.json,GRU_Deep,TwitterSentimentVolumePriceXPriceY,0.5066580058460539,0.6945608807635978,0.532843137254902,0.47017788629229157,0.008778682812244282,0.4766619519094767,0.4638678596008259,0.002943427258052341
80,0004.json,Shallow_First_GRU,NormSentimentNormPriceXPriceY,0.5008119519324457,0.6492096358769759,0.5053921568627451,0.49623074401835465,0.003767644904785816,0.4737171464330413,0.5209910529938059,0.0008862581708903006
75,0001.json,Shallow_First_GRU,TwitterSentimentVolumePriceXPriceY,0.4933419941539461,0.6441593858896015,0.5343137254901961,0.4004611837048424,-0.02854526571003207,0.453437771975631,0.358568479008947,0.0039324067336638764
78,0001.json,Shallow_First_GRU,NormSentimentNormPriceXPriceY,0.5144527443975316,0.6011817584970456,0.5504901960784314,0.3176631675034231,-0.00040686455043391524,0.4715447154471545,0.23950447350309703,0.0030366518457927484
119,0004.json,GRU_Shallow_1fc,TwitterSentimentVolumePriceXPriceY,0.4696329977265346,0.6007272359981819,0.553921568627451,0.49489638107021344,-0.05268554716704262,0.449438202247191,0.5505849965588437,0.009076302419790964
65,0000.json,GRU_Shallow_2fc,TwitterSentimentVolumePriceXPriceY,0.4852224748294901,0.5742134235644665,0.5593137254901961,0.4794745484400657,-0.027698802083977233,0.4585427135678392,0.5024088093599449,0.000266780383290217
82,0000.json,Shallow_First_GRU,NormSentimentNormPriceXPriceY,0.47190646313738227,0.5724963385687591,0.5171568627450981,0.5495844875346261,-0.03679284896411456,0.45989800649049606,0.6827253957329663,0.0008588127852025473
81,0003.json,Shallow_First_GRU,NormSentimentNormPriceXPriceY,0.5254952906787919,0.5631533760921166,0.5818627450980393,0.22820919175911253,0.015543074034076424,0.4909090909090909,0.1486579490708878,0.00013941055225203734
67,0001.json,GRU_Shallow_3fc,TwitterSentimentVolumePriceXPriceY,0.5261448522247483,0.5586081511034796,0.5455882352941176,0.20663404023926046,0.015411616486825354,0.49222797927461137,0.1307639366827254,0.005057194872233033
62,0002.json,GRU_Shallow_2fc,TwitterSentimentVolumePriceXPriceY,0.49561545956479375,0.5380536336548659,0.4980392156862745,0.5090104331331015,-0.0025661640549838084,0.47076023391812866,0.5540261527873366,0.008547506792007449
95,0007.json,Depth_First_GRU2,NormSentimentAllPriceXPriceY,0.558298148749594,0.5376496136558759,0.5470588235294118,0.33723196881091616,0.10408144859120401,0.5776293823038398,0.23812801101169992,0.001197373103527986
83,0010.json,Depth_First_GRU2,NormSentimentAllPriceXPriceY,0.49366677492692435,0.5350234836624413,0.4764705882352941,0.5328139047048247,-9.582410994564033e-05,0.4718683651804671,0.6118375774260152,0.0003603403569563614
63,0004.json,GRU_Shallow_2fc,TwitterSentimentVolumePriceXPriceY,0.4965898018837285,0.5338619261653452,0.49411764705882355,0.5494186046511628,0.009956980239828356,0.47559134373427275,0.6503785271851342,0.0064096373912985545
26,0002.json,Deeper_Two_Layer_GRU,SentimentPriceXPriceY,0.48814550178629423,0.5284581586788546,0.5117647058823529,0.5471264367816092,-0.0062475985005356355,0.46965959546127284,0.6551961459050241,0.0016311877701088622
20,0010.json,Deeper_Two_Layer_GRU,SentimentPriceXPriceY,0.5056836635271192,0.5260845411847886,0.5362745098039216,0.557815223707147,0.029083987802952002,0.48265460030165913,0.6607019958706125,0.0037607400146633836
39,0014.json,Deeper_Two_Layer_GRU,SentimentPriceXPriceY,0.512179278986684,0.5259835361850411,0.538235294117647,0.5633720930232559,0.04259453399259434,0.4876698540513337,0.6668960770818995,0.002201780978235343
36,0015.json,Deeper_Two_Layer_GRU,SentimentPriceXPriceY,0.48132510555375124,0.5259330336851674,0.4681372549019608,0.624323688543872,0.014923115610416584,0.4742673338098642,0.9132828630419821,0.0019991904582054376
25,0008.json,Deeper_Two_Layer_GRU,SentimentPriceXPriceY,0.4680090938616434,0.525630018685925,0.5308823529411765,0.5367647058823529,-0.04725856625625171,0.4555928948631781,0.6531314521679285,0.0033203303919004355
34,0009.json,Deeper_Two_Layer_GRU,SentimentPriceXPriceY,0.48911984410522896,0.5237614261905964,0.4759803921568627,0.5913224214081579,0.011450008927048115,0.4749582637729549,0.7832071576049553,0.003181604252373604
29,0019.json,Deeper_Two_Layer_GRU,SentimentPriceXPriceY,0.5060084443000974,0.5226503711933741,0.5083333333333333,0.4978540772532189,0.013373908484498027,0.4784263959390863,0.5189263592567103,0.004985656227581523
30,0016.json,Deeper_Two_Layer_GRU,SentimentPriceXPriceY,0.4943163364728808,0.5216403211958992,0.5049019607843137,0.5597964376590331,0.009107390648192097,0.4750479846449136,0.6813489332415692,0.008436225965468615
21,0011.json,Deeper_Two_Layer_GRU,SentimentPriceXPriceY,0.4790516401429035,0.5216403211958992,0.5230392156862745,0.5245998814463545,-0.028919407267776573,0.46069755335762624,0.609084652443221,0.003885250902950408
64,0003.json,GRU_Shallow_2fc,TwitterSentimentVolumePriceXPriceY,0.4680090938616434,0.5210342911974143,0.4803921568627451,0.5652866242038217,-0.041366589778570946,0.46004319654427644,0.7329662766689607,0.00970180903777331
24,0017.json,Deeper_Two_Layer_GRU,SentimentPriceXPriceY,0.48879506333225076,0.5207312761981718,0.47009803921568627,0.5558690744920993,-0.002447868684546467,0.47106647537063606,0.6779077770130764,0.006012162917468962
38,0013.json,Deeper_Two_Layer_GRU,SentimentPriceXPriceY,0.48619681714842483,0.5204282611989294,0.5161764705882353,0.5568627450980392,-0.007054879737902984,0.46953235710911667,0.6841018582243634,0.004186284011611361
37,0007.json,Deeper_Two_Layer_GRU,SentimentPriceXPriceY,0.4871711594673595,0.5201757486995606,0.47843137254901963,0.5605343723907598,-0.004069527127890524,0.4705607476635514,0.6930488644184446,0.006931332117608743
35,0012.json,Deeper_Two_Layer_GRU,SentimentPriceXPriceY,0.4712569015914258,0.5191656987020857,0.4598039215686274,0.6357941834451901,-0.012698977982195592,0.4709976798143852,0.9779766001376462,0.007770534434793784
28,0004.json,Deeper_Two_Layer_GRU,SentimentPriceXPriceY,0.5219227021760312,0.5185091662037271,0.5147058823529411,0.38512949039264827,0.023918242258919347,0.48990435706695007,0.31727460426703374,0.006033871965705354
